artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Next;Wifey;243666;2004;99.581;hip hop, pop, R&B;0.652;7;-8.693
Bubba Sparxxx;Ms. New Booty;252653;2005;129.37;hip hop, pop, country;0.62;1;-5.931
Pitbull;I Know You Want Me (Calle Ocho);237120;2009;127.045;hip hop, pop, latin;0.743;2;-5.995
Plan B;She Said;208853;2010;147.007;Dance/Electronic;0.538;3;-5.85
Linkin Park;In the End;216880;2000;105.143;rock, metal;0.864;3;-5.87
Eminem;We Made You;269613;2009;114.003;hip hop;0.853;2;-1.203
Limp Bizkit;Behind Blue Eyes;269973;2003;120.315;metal;0.489;7;-6.66
Kanye West;Can't Tell Me Nothing;271600;2007;80.029;hip hop;0.62;5;-6.133
Beyoncé;Naughty Girl;208600;2003;99.973;pop, R&B;0.466;6;-8.65
Avril Lavigne;My Happy Ending;242413;2004;170.229;pop;0.936;2;-2.407
LMFAO;Party Rock Anthem;262146;2011;130.014;hip hop, pop, Dance/Electronic;0.736;5;-4.168
Meek Mill;Going Bad (feat. Drake);180522;2018;86.003;hip hop, pop;0.496;4;-6.365
The Chemical Brothers;Galvanize;393813;2005;104.003;Dance/Electronic;0.714;7;-3.681
Fuel;Hemorrhage (In My Hands);236866;2000;152.034;rock, pop, metal;0.831;1;-3.894
Calvin Harris;Drinking from the Bottle (feat. Tinie Tempah);240346;2012;128.062;hip hop, pop, Dance/Electronic;0.886;9;-4.175
Lil Nas X;Panini;114893;2019;153.848;hip hop, pop;0.594;5;-6.146
Gwen Stefani;Rich Girl;236213;2004;98.018;pop, R&B;0.754;7;-2.728
Finger Eleven;Paralyzer;208106;2007;106.031;rock, metal;0.939;11;-3.486
Eminem;River (feat. Ed Sheeran);221013;2017;90.09;hip hop;0.749;8;-5.916
Kanye West;Black Skinhead;188013;2013;130.089;hip hop;0.825;1;-6.107
Creed;One Last Breath - Radio Version;242000;2015;130.581;pop, rock, metal;0.725;2;-6.094
Pitbull;International Love (feat. Chris Brown);227280;2011;120.05;hip hop, pop, latin;0.855;0;-3.035
Storm Queen;Look Right Through - MK Vocal Edit;150400;2014;119.995;Dance/Electronic;0.815;0;-8.035
Jessica Simpson;Irresistible;194026;2001;93.013;pop, R&B;0.965;8;-2.771
Sigma;Nobody To Love - Radio Edit;189720;2014;175.001;pop, Dance/Electronic;0.921;8;-3.32
The Strokes;Reptilia;219826;2003;158.009;rock;0.649;9;-5.11
The Weeknd;In The Night;235653;2015;167.939;pop, R&B;0.682;7;-4.94
OneRepublic;Love Runs Out;224226;2014;120.022;pop;0.935;7;-3.752
Beyoncé;Deja Vu (feat. Jay-Z);240280;2007;105.253;pop, R&B;0.746;7;-4.941
Post Malone;rockstar (feat. 21 Savage);218146;2018;159.801;hip hop;0.52;5;-6.136
T2;Heartbroken - Edit;178613;2017;139.986;Dance/Electronic;0.757;11;-5.438
Eminem;Stan;404106;2000;80.063;hip hop;0.768;6;-4.325
Kygo;Stole the Show;222813;2016;99.886;pop, Dance/Electronic;0.633;8;-6.443
Rae Sremmurd;No Type;200080;2015;125.01;hip hop, pop;0.486;6;-7.803
*NSYNC;It's Gonna Be Me;191040;2000;165.09;pop;0.874;0;-4.666
Disclosure;Latch;255631;2013;121.985;pop, Dance/Electronic;0.727;1;-5.456
"H ""two"" O";What's It Gonna Be (feat. Platnum);207476;2008;139.61;Dance/Electronic;0.9;9;-4.758
The Weeknd;Can't Feel My Face;213520;2015;107.949;pop, R&B;0.769;9;-5.526
OneRepublic;Good Life;253306;2009;94.988;pop;0.69;6;-7.804
Nicole Scherzinger;Don't Hold Your Breath;197440;2011;110.955;pop, Dance/Electronic;0.797;5;-6.096
Jordin Sparks;Tattoo;233466;2007;168.005;pop, R&B;0.766;2;-5.036
Counting Crows;Big Yellow Taxi;225426;2003;88.029;rock, pop;0.873;8;-4.315
Chingy;Right Thurr;250746;2003;92.074;hip hop, pop, R&B;0.749;2;-3.977
Taylor Swift;Style;231000;2014;94.933;pop;0.791;7;-5.595
Hilltop Hoods;1955;239280;2016;84.044;hip hop, pop;0.5;11;-7.558
Westlife;The Rose;219106;2006;109.581;pop;0.203;9;-9.706
Black Eyed Peas;Imma Be;257560;2009;92.035;hip hop, pop;0.517;0;-6.963
Anastacia;I'm Outta Love - Radio Edit;245400;1999;119.41;pop;0.716;10;-5.8
DMX;X Gon' Give It To Ya;217586;2007;95.027;hip hop, pop;0.899;10;-3.09
Timbaland;The Way I Are;179120;2007;114.759;hip hop, pop, R&B;0.807;3;-6.492
Birdy;Let It All Go;280757;2015;107.005;pop;0.43;10;-8.644
Kelly Clarkson;Stronger (What Doesn't Kill You);221946;2011;116.044;pop, R&B;0.939;0;-4.282
Pia Mia;Do It Again;207746;2015;95.95;pop, R&B;0.564;8;-6.527
Selena Gomez;Same Old Love;229080;2015;98.02;pop;0.593;11;-4.01
Mr. Probz;Waves - Robin Schulz Radio Edit;208133;2014;119.993;hip hop, Dance/Electronic;0.51;5;-9.334
Jay Sean;Do You Remember;210306;2009;125.846;hip hop, pop, R&B;0.668;11;-4.892
French Montana;Unforgettable;233901;2017;97.985;hip hop, pop;0.769;6;-5.043
James Arthur;Impossible;209440;2013;169.533;pop;0.695;0;-4.782
Ed Sheeran;Sing;235382;2014;119.988;pop;0.67;8;-4.451
2Pac;Until The End Of Time;266506;2001;96.976;hip hop;0.706;8;-6.665
Jeremih;Down On Me;228453;2010;160.041;hip hop, pop, R&B;0.598;2;-7.783
iann dior;emotions;131213;2019;80.512;hip hop, pop;0.63;9;-6.211
Montell Jordan;Get It On Tonite;276266;1999;99.008;hip hop, pop, R&B;0.491;10;-9.923
FINNEAS;Let's Fall in Love for the Night;190348;2018;127.921;rock, pop, Dance/Electronic;0.408;5;-7.941
Justin Bieber;Beauty And A Beat;227986;2012;128.003;pop;0.843;0;-4.831
Busta Rhymes;I Know What You Want (feat. Flipmode Squad);324306;2002;85.996;hip hop, pop;0.759;6;-4.315
Khalid;Better;229412;2018;97.565;pop, R&B;0.585;0;-10.332
Rich Homie Quan;Flex (Ooh, Ooh, Ooh);176674;2015;163.993;hip hop, pop;0.615;6;-7.534
John Newman;Love Me Again;239894;2013;126.03;set();0.894;2;-4.814
Nickelback;Someday;207466;2003;163.118;rock, metal;0.858;11;-5.659
T.I.;Bring Em Out;216706;2004;98.579;hip hop, pop;0.891;11;-2.983
Kid Ink;Show Me (feat. Chris Brown);217800;2014;98.098;hip hop, pop;0.508;7;-7.299
Luis Fonsi;Despacito (Featuring Daddy Yankee);228200;2017;177.833;pop, latin;0.786;2;-4.757
T-Pain;I'm N Luv (Wit a Stripper) (feat. Mike Jones);265333;2005;145.171;hip hop, pop, R&B;0.368;8;-10.38
Muse;Uprising;304840;2009;128.019;rock;0.905;2;-4.046
Maroon 5;Daylight;225066;2012;120.001;pop;0.674;7;-5.473
Natasha Bedingfield;Unwritten;259333;2004;100.011;pop;0.8;5;-6.333
Lil Jon & The East Side Boyz;Get Low;324600;2002;101.043;hip hop, pop;0.604;1;-8.019
Nicki Minaj;Bed Of Lies;269946;2014;86.01;hip hop, pop;0.67;11;-5.779
Lil Wayne;Right Above It;271946;2010;76.052;hip hop, pop;0.841;3;-4.348
Anuel AA;Secreto;258800;2019;91.987;latin;0.803;11;-4.156
Natalie Imbruglia;Shiver;222653;2005;94.163;pop, Folk/Acoustic;0.798;1;-4.49
Jason Aldean;Big Green Tractor;204200;2009;137.077;country;0.596;4;-5.035
James Morrison;Wonderful World;210066;2006;78.969;pop, R&B;0.71;1;-4.606
Keyshia Cole;Let It Go;238360;2007;94.955;hip hop, pop, R&B;0.721;1;-5.165
Outkast;The Whole World (feat. Killer Mike);295346;2001;184.682;hip hop, pop;0.852;2;-6.176
Seether;Fake It;193893;2007;132.078;rock, metal;0.95;8;-3.509
The-Dream;I Luv Your Girl;267866;2007;90.063;hip hop, pop, R&B;0.322;8;-9.702
Beyoncé;Crazy In Love (feat. Jay-Z);236133;2003;99.165;pop, R&B;0.77;2;-6.596
50 Cent;In Da Club;193466;2003;90.051;hip hop, pop;0.713;6;-2.752
Macklemore & Ryan Lewis;Can't Hold Us (feat. Ray Dalton);258342;2012;146.078;hip hop, pop;0.922;2;-4.457
3 Doors Down;It's Not My Time;241960;2008;127.962;pop, rock, metal;0.934;0;-4.808
Black Eyed Peas;Shut Up;296186;2003;112.968;hip hop, pop;0.714;2;-3.966
Taio Cruz;Higher;187626;2010;128.027;hip hop, pop;0.907;8;-5.069
iann dior;gone girl;136568;2019;94.956;hip hop, pop;0.714;11;-5.637
Ciara;Get Up (feat. Chamillionaire);261880;2006;128.593;pop, R&B;0.595;1;-6.887
Sech;Otro Trago;225933;2019;176.044;latin;0.7;0;-4.669
One Direction;One Way or Another (Teenage Kicks);157293;2013;162.131;pop;0.867;4;-3.121
Travie McCoy;Billionaire (feat. Bruno Mars);211160;2010;86.776;hip hop, pop;0.673;6;-6.403
Wiz Khalifa;Work Hard, Play Hard;219026;2012;140.008;hip hop, pop;0.666;11;-4.475
Meghan Trainor;NO;213506;2017;92.134;pop;0.803;1;-3.599
T.I.;Whatever You Like;249533;2008;150.053;hip hop, pop;0.687;9;-6.162
The Chainsmokers;Paris;221506;2017;99.99;pop, Dance/Electronic;0.658;2;-6.428
Drake;Nice For What;210746;2018;93.372;hip hop, pop, R&B;0.909;8;-6.474
Tyga;Faded;206666;2012;95.073;hip hop, pop;0.667;1;-8.438
Bastille;Good Grief;206493;2016;120.041;pop, rock;0.758;1;-4.888
Travis Scott;BUTTERFLY EFFECT;190677;2017;140.987;hip hop, Dance/Electronic;0.598;11;-6.865
Dem Franchize Boyz;Lean Wit It, Rock Wit It;229813;2006;76.035;hip hop, pop;0.62;5;-5.854
Dr. Dre;Forgot About Dre;222293;1999;133.974;hip hop;0.74;8;-1.299
Linkin Park;What I've Done;205613;2007;120.119;rock, metal;0.93;5;-5.285
Jason Derulo;Whatcha Say;221253;2010;144.036;hip hop, pop;0.711;11;-5.507
Grimes;Oblivion;251266;2012;155.974;pop, rock, Dance/Electronic;0.529;2;-8.838
Gigi D'Agostino;L'Amour Toujours;238759;2011;139.066;pop;0.728;7;-7.932
SAYGRACE;You Don't Own Me (feat. G-Eazy);201493;2016;186.249;pop, R&B;0.635;7;-5.653
E-40;U and Dat (feat. T. Pain & Kandi Girl);202720;2006;99.992;hip hop, pop;0.484;6;-7.448
Flo Rida;I Don't Like It, I Love It (feat. Robin Thicke & Verdine White);224258;2015;118.004;hip hop, pop;0.766;9;-4.697
Tinashe;2 On (feat. ScHoolboy Q);227000;2014;101.013;hip hop, pop, R&B, Dance/Electronic;0.595;9;-7.51
Zay Hilfigerrr;Juju on That Beat (TZ Anthem);144244;2016;160.517;set();0.887;1;-3.892
Juice WRLD;Lucid Dreams;239835;2018;83.903;hip hop;0.566;6;-7.23
Naughty Boy;La La La;220779;2013;124.988;Dance/Electronic;0.677;6;-4.399
Brandy;Another Day in Paradise - R&B-Version;271626;2002;102.043;hip hop, pop, R&B;0.787;6;-5.176
Mario;Break Up;249026;2009;73.881;pop, R&B;0.517;0;-7.355
Charlene Soraia;Wherever You Will Go;197577;2011;111.202;pop;0.115;9;-9.217
Katy Perry;Dark Horse;215672;2013;131.934;pop;0.585;6;-6.123
3 Doors Down;Kryptonite;233933;2000;99.009;pop, rock, metal;0.865;11;-5.708
Ava Max;Sweet but Psycho;187436;2018;133.002;pop;0.704;1;-4.724
Anastacia;Sick and Tired;212266;1999;99.848;pop;0.868;0;-4.552
Fall Out Boy;This Ain't A Scene, It's An Arms Race;212040;2007;199.935;rock;0.887;9;-4.07
Natti Natasha;Criminal;232549;2017;79.997;pop, latin;0.813;2;-3.023
Matchbox Twenty;Unwell;228706;2002;80.718;pop, rock;0.788;6;-5.263
Travis Scott;goosebumps;243836;2016;130.049;hip hop, Dance/Electronic;0.728;7;-3.37
Migos;Slippery (feat. Gucci Mane);304041;2017;141.967;hip hop, pop;0.675;1;-5.661
Taylor Swift;Style;231000;2014;94.933;pop;0.791;7;-5.595
Linkin Park;In the End;216880;2000;105.143;rock, metal;0.864;3;-5.87
Elvis Presley;A Little Less Conversation - JXL Radio Edit Remix;211506;2002;114.999;rock, easy listening;0.97;4;-5.972
NSG;Options;240081;2020;101.993;World/Traditional, hip hop;0.621;1;-4.684
Lemaitre;Closer;270589;2017;91.977;pop;0.785;2;-3.991
Jennifer Lopez;All I Have (feat. LL Cool J);254466;2002;83.066;hip hop, pop, R&B;0.669;1;-5.265
One Direction;What Makes You Beautiful;199986;2012;124.99;pop;0.787;4;-2.494
P!nk;Most Girls;298960;2000;97.922;pop;0.732;2;-6.046
Calvin Harris;Thinking About You (feat. Ayah Marar);247933;2012;127.985;hip hop, pop, Dance/Electronic;0.874;0;-3.715
Eminem;Just Lose It;248680;2004;121.003;hip hop;0.633;8;-3.56
The Script;Hall of Fame (feat. will.i.am);202533;2012;84.786;pop, rock;0.873;10;-4.343
Lloyd Banks;On Fire;187280;2004;94.857;hip hop, pop;0.825;8;-4.289
Marshmello;Silence;180822;2017;141.971;pop, Dance/Electronic;0.761;4;-3.093
Kylie Minogue;Spinning Around;207866;2000;120.043;pop, Dance/Electronic;0.662;6;-7.645
Baby Boy Da Prince;The Way I Live - Main Explicit;324906;2006;90.02;hip hop, pop;0.438;0;-7.562
Nelly;Just A Dream;237800;2010;89.917;hip hop, pop, R&B;0.752;1;-6.161
Bruno Mars;Treasure;178560;2012;116.017;pop;0.692;5;-5.28
Chris Brown;Look At Me Now (feat. Lil' Wayne & Busta Rhymes);222586;2011;146.155;hip hop, pop, R&B;0.677;11;-6.128
JoJo;Too Little Too Late;223680;2006;83.001;hip hop, pop, R&B;0.823;6;-5.338
David Archuleta;Crush;213520;2008;162.084;pop;0.664;0;-4.718
Jamelia;Superstar;215480;2003;110.01;pop;0.645;1;-6.93
Jason Derulo;Tip Toe (feat. French Montana);187521;2017;98.062;hip hop, pop;0.709;10;-4.547
Destiny's Child;Girl;224146;2004;89.036;pop, R&B;0.747;6;-6.019
J. Holiday;Bed;275106;2007;127.901;hip hop, pop, R&B, Dance/Electronic;0.606;5;-7.268
Kaiser Chiefs;I Predict A Riot;233186;2005;158.842;rock;0.979;8;-3.241
P.O.D.;Youth of the Nation;256240;2001;97.867;rock, metal;0.86;8;-7.533
Kanye West;Flashing Lights;237506;2007;90.482;hip hop;0.628;6;-7.578
Taylor Swift;I Knew You Were Trouble.;219720;2012;77.019;pop;0.469;3;-6.798
Future;Mask Off;204600;2017;150.062;hip hop, pop;0.434;2;-8.795
Sia;Chandelier;216120;2014;117.089;pop;0.787;1;-2.88
Alicia Keys;Empire State of Mind (Part II) Broken Down;216480;2009;92.923;pop, R&B;0.368;6;-7.784
G.R.L.;Ugly Heart;198306;2014;124.96;pop;0.786;9;-5.488
Sean Paul;Temperature;218573;2005;125.04;hip hop, pop;0.6;0;-4.675
Calvin Harris;Giant (with Rag'n'Bone Man);229184;2019;122.015;hip hop, pop, Dance/Electronic;0.887;1;-4.311
MGMT;Kids;302840;2007;122.961;rock;0.931;9;-3.871
JAY-Z;Big Pimpin';283066;1999;138.083;hip hop;0.814;11;-6.307
Unk;Walk It Out;173040;2013;160.022;hip hop, pop;0.777;1;-3.696
Kanye West;Heartless;211000;2008;87.999;hip hop;0.647;10;-5.983
Cherish;Do It To It;226293;2006;74.007;hip hop, pop, R&B;0.67;2;-5.559
Sam Smith;Money On My Mind;192670;2014;133.912;pop;0.841;2;-5.217
Nicky Jam;El Perdón - Forgiveness;206666;2017;90.013;latin;0.719;8;-3.839
Plies;Shawty (feat. T Pain);255413;2007;105.412;hip hop, pop, R&B;0.708;4;-5.926
Kelly Clarkson;Behind These Hazel Eyes;198973;2004;90.048;pop, R&B;0.889;9;-4.682
Frank Ocean;Lost;234093;2012;123.061;hip hop, pop, R&B;0.603;8;-4.892
Black Eyed Peas;Boom Boom Pow;251440;2009;130.048;hip hop, pop;0.857;9;-5.892
Calvin Harris;Feels (feat. Pharrell Williams, Katy Perry & Big Sean);223413;2017;101.018;hip hop, pop, Dance/Electronic;0.745;11;-3.105
Cam’ron;Oh Boy;204706;2002;83.014;hip hop, pop;0.767;6;-5.586
Enrique Iglesias;Tonight (I'm Fuckin' You);232213;2010;125.953;pop, latin;0.89;0;-3.982
The xx;Intro;127920;2009;100.363;rock;0.778;9;-8.871
Dido;White Flag;240040;2003;169.951;pop;0.525;5;-6.823
Ne-Yo;Because Of You;266840;2007;109.97;pop, R&B;0.538;0;-5.784
All Time Low;Dear Maria, Count Me In;182826;2007;181.04;rock;0.895;2;-3.126
Black Eyed Peas;I Gotta Feeling;289133;2009;127.96;hip hop, pop;0.766;0;-6.375
No Doubt;Underneath It All;302720;2001;138.202;rock, pop;0.731;4;-4.822
Gym Class Heroes;Cupid's Chokehold / Breakfast in America - Radio Mix;237173;2007;79.702;hip hop, pop;0.681;1;-5.084
Jason Derulo;The Other Side;226986;2013;127.923;hip hop, pop;0.836;9;-3.939
Rihanna;Stay;240706;2012;111.893;hip hop, pop, R&B;0.31;9;-10.164
Danity Kane;Damaged;244266;2008;120.01;pop, R&B;0.653;8;-5.158
Milky Chance;Stolen Dance;313684;2014;114.016;set();0.581;11;-8.813
Kygo;It Ain't Me (with Selena Gomez);220780;2017;99.968;pop, Dance/Electronic;0.533;0;-6.596
Ricky Martin;Nobody Wants to Be Lonely (with Christina Aguilera);252706;2008;100.851;pop, latin;0.854;10;-5.02
